section,niche_a,niche_b,co_occurrence_ratio,graph_steps,descriptive
CID4465,N2,N7,0.7686954379509435,first-ring,True
CID4465,N2,N8,0.9999634894423121,first-ring,True
CID4465,N2,N9,1.298653882392613,first-ring,True
CID4465,N3,N0,3.199883166215399,first-ring,True
CID4465,N3,N1,0.6049007888874531,first-ring,True
CID4465,N3,N2,1.0267004811386304,first-ring,True
CID4465,N3,N3,2.710489270205984,first-ring,True
CID4465,N3,N4,0.9240304330247674,first-ring,True
CID4465,N3,N5,0.7552171808375504,first-ring,True
CID4465,N3,N6,1.530050392346206,first-ring,True
CID4465,N3,N7,0.36626076749427317,first-ring,True
CID4465,N3,N8,0.49089116754440776,first-ring,True
CID4465,N3,N9,1.1687884941533517,first-ring,True
CID4465,N4,N0,0.0,first-ring,True
CID4465,N4,N1,0.6616102378456519,first-ring,True
CID4465,N4,N2,0.6844669874257537,first-ring,True
CID4465,N4,N3,0.9240304330247674,first-ring,True
CID4465,N4,N4,5.39017752597781,first-ring,True
CID4465,N4,N5,1.2586953013959172,first-ring,True
CID4465,N4,N6,0.5383510639736652,first-ring,True
CID4465,N4,N7,1.4921734971988905,first-ring,True
CID4465,N4,N8,1.168788494153352,first-ring,True
CID4465,N4,N9,0.7012730964920111,first-ring,True
CID4465,N5,N0,0.0,first-ring,True
CID4465,N5,N1,0.7879341706211266,first-ring,True
CID4465,N5,N2,0.8391302009306116,first-ring,True
CID4465,N5,N3,0.7552171808375504,first-ring,True
CID4465,N5,N4,1.2586953013959172,first-ring,True
CID4465,N5,N5,2.4689792450458374,first-ring,True
CID4465,N5,N6,0.9448388106582339,first-ring,True
CID4465,N5,N7,0.753912833374964,first-ring,True
CID4465,N5,N8,1.8723092608264271,first-ring,True
CID4465,N5,N9,1.299153364655072,first-ring,True
CID4465,N6,N0,0.2676014060687809,first-ring,True
CID4465,N6,N1,1.0398778104420061,first-ring,True
CID4465,N6,N2,0.8500279957478922,first-ring,True
CID4465,N6,N3,1.530050392346206,first-ring,True
CID4465,N6,N4,0.5383510639736652,first-ring,True
CID4465,N6,N5,0.9448388106582339,first-ring,True
CID4465,N6,N6,1.693187078398832,first-ring,True
CID4465,N6,N7,0.5490681699649598,first-ring,True
CID4465,N6,N8,0.27524716052788895,first-ring,True
CID4465,N6,N9,0.860147376649653,first-ring,True
CID4465,N7,N0,0.4484056721380505,first-ring,True
CID4465,N7,N1,0.6826681506712352,first-ring,True
CID4465,N7,N2,0.7686954379509435,first-ring,True
CID4465,N7,N3,0.36626076749427317,first-ring,True
CID4465,N7,N4,1.4921734971988905,first-ring,True
CID4465,N7,N5,0.753912833374964,first-ring,True
CID4465,N7,N6,0.5490681699649598,first-ring,True
CID4465,N7,N7,2.4614185526097576,first-ring,True
CID4465,N7,N8,0.8338972831342827,first-ring,True
CID4465,N7,N9,1.0500928750579857,first-ring,True
CID4465,N8,N0,2.2077116000674426,first-ring,True
CID4465,N8,N1,0.30844201777115526,first-ring,True
CID4465,N8,N2,0.9999634894423121,first-ring,True
CID4465,N8,N3,0.49089116754440776,first-ring,True
CID4465,N8,N4,1.168788494153352,first-ring,True
CID4465,N8,N5,1.8723092608264271,first-ring,True
CID4465,N8,N6,0.27524716052788895,first-ring,True
CID4465,N8,N7,0.8338972831342827,first-ring,True
CID4465,N8,N8,4.506097069423369,first-ring,True
CID4465,N8,N9,1.206356695751138,first-ring,True
CID4465,N9,N0,0.4415423200134885,first-ring,True
CID4465,N9,N1,0.8320761409640467,first-ring,True
CID4465,N9,N2,1.298653882392613,first-ring,True
CID4465,N9,N3,1.1687884941533517,first-ring,True
CID4465,N9,N4,0.7012730964920111,first-ring,True
CID4465,N9,N5,1.299153364655072,first-ring,True
CID4465,N9,N6,0.860147376649653,first-ring,True
CID4465,N9,N7,1.0500928750579857,first-ring,True
CID4465,N9,N8,1.206356695751138,first-ring,True
CID4465,N9,N9,0.7096215857359636,first-ring,True
CID44971,N0,N0,3.142615321090462,first-ring,True
CID44971,N0,N1,0.30833206923906414,first-ring,True
CID44971,N0,N2,0.7592336129714123,first-ring,True
CID44971,N0,N3,2.1677632214868896,first-ring,True
CID44971,N0,N4,1.0213499793544,first-ring,True
CID44971,N0,N5,0.790722564661471,first-ring,True
CID44971,N0,N6,0.8685495887423244,first-ring,True
CID44971,N0,N7,0.8600841931405472,first-ring,True
CID44971,N0,N8,1.4210086669278608,first-ring,True
CID44971,N0,N9,0.2769762655876339,first-ring,True
CID44971,N1,N0,0.30833206923906414,first-ring,True
CID44971,N1,N1,4.520910885236928,first-ring,True
CID44971,N1,N2,0.27786267596617725,first-ring,True
CID44971,N1,N3,0.32720954286594556,first-ring,True
CID44971,N1,N4,0.4342343308450154,first-ring,True
CID44971,N1,N5,0.7327030892670234,first-ring,True
CID44971,N1,N6,0.8732028942492132,first-ring,True
CID44971,N1,N7,0.6065216362005275,first-ring,True
CID44971,N1,N8,0.23236619710770054,first-ring,True
CID44971,N1,N9,0.5661464548174906,first-ring,True
CID44971,N2,N0,0.7592336129714123,first-ring,True
CID44971,N2,N1,0.27786267596617725,first-ring,True
CID44971,N2,N2,2.5371776446958703,first-ring,True
CID44971,N2,N3,0.4987773783952135,first-ring,True
CID44971,N2,N4,0.5405020244725054,first-ring,True
CID44971,N2,N5,0.8490354381615794,first-ring,True
CID44971,N2,N6,0.33677291494007533,first-ring,True
CID44971,N2,N7,0.7792134448917126,first-ring,True
CID44971,N2,N8,1.111656337667459,first-ring,True
CID44971,N2,N9,1.6091585695423156,first-ring,True
CID44971,N3,N0,2.1677632214868896,first-ring,True
CID44971,N3,N1,0.32720954286594556,first-ring,True
CID44971,N3,N2,0.4987773783952135,first-ring,True
CID44971,N3,N3,2.9198443391456066,first-ring,True
CID44971,N3,N4,0.9212993691319282,first-ring,True
