section,niche_a,niche_b,observed_edges,expected_edges_independence,enrichment_ratio,descriptive
CID44971,N3,N4,17,18.45219976218787,0.9212993691319282,True
CID44971,N3,N5,10,14.3004548156956,0.6992784585441579,True
CID44971,N3,N6,191,117.17146848989299,1.630089666551165,True
CID44971,N3,N7,37,70.11835909631392,0.5276792052303612,True
CID44971,N3,N8,41,53.05007431629013,0.7728547137474998,True
CID44971,N3,N9,26,27.216994649227107,0.9552854874349006,True
CID44971,N4,N0,5,4.895481569560047,1.0213499793544,True
CID44971,N4,N1,13,29.93775267538644,0.4342343308450154,True
CID44971,N4,N2,23,42.55303210463734,0.5405020244725054,True
CID44971,N4,N3,17,18.45219976218787,0.9212993691319282,True
CID44971,N4,N4,23,3.7657550535077284,6.107672876539312,True
CID44971,N4,N5,5,5.83692033293698,0.8566161117165935,True
CID44971,N4,N6,30,47.82508917954816,0.6272858140916787,True
CID44971,N4,N7,52,28.61973840665874,1.8169278580094061,True
CID44971,N4,N8,25,21.65309155766944,1.1545695418788868,True
CID44971,N4,N9,8,11.1089774078478,0.7201382905278482,True
CID44971,N5,N0,3,3.7939982164090367,0.790722564661471,True
CID44971,N5,N1,17,23.201758323424492,0.7327030892670234,True
CID44971,N5,N2,28,32.978599881093935,0.8490354381615794,True
CID44971,N5,N3,10,14.3004548156956,0.6992784585441579,True
CID44971,N5,N4,5,5.83692033293698,0.8566161117165935,True
CID44971,N5,N5,2,2.26180662901308,0.8842488895139029,True
CID44971,N5,N6,35,37.06444411414982,0.944301225514355,True
CID44971,N5,N7,21,22.180297265160526,0.9467862287393927,True
CID44971,N5,N8,30,16.781145957193818,1.7877205809737602,True
CID44971,N5,N9,8,8.609457491082045,0.9292106974552878,True
CID44971,N6,N0,27,31.0863079667063,0.8685495887423244,True
CID44971,N6,N1,166,190.10472948870392,0.8732028942492132,True
CID44971,N6,N2,91,270.2117538644471,0.33677291494007533,True
CID44971,N6,N3,191,117.17146848989299,1.630089666551165,True
CID44971,N6,N4,30,47.82508917954816,0.6272858140916787,True
CID44971,N6,N5,35,37.06444411414982,0.944301225514355,True
CID44971,N6,N6,283,151.84465814506538,1.863746828219896,True
CID44971,N6,N7,114,181.735338882283,0.6272858140916787,True
CID44971,N6,N8,88,137.49713139120095,0.6400133523486113,True
CID44971,N6,N9,58,70.54200653983352,0.8222051348546299,True
CID44971,N7,N0,16,18.602829964328183,0.8600841931405472,True
CID44971,N7,N1,69,113.76346016646849,0.6065216362005275,True
CID44971,N7,N2,126,161.70152199762188,0.7792134448917126,True
CID44971,N7,N3,37,70.11835909631392,0.5276792052303612,True
CID44971,N7,N4,52,28.61973840665874,1.8169278580094061,True
CID44971,N7,N5,21,22.180297265160526,0.9467862287393927,True
CID44971,N7,N6,114,181.735338882283,0.6272858140916787,True
CID44971,N7,N7,112,54.37750297265162,2.059675304626047,True
CID44971,N7,N8,76,82.28174791914388,0.9236556335031094,True
CID44971,N7,N9,29,42.21411414982165,0.686974027148276,True
CID44971,N8,N0,20,14.074509512485138,1.4210086669278608,True
CID44971,N8,N1,20,86.07103894173602,0.23236619710770054,True
CID44971,N8,N2,136,122.33996730083236,1.111656337667459,True
CID44971,N8,N3,41,53.05007431629013,0.7728547137474998,True
CID44971,N8,N4,25,21.65309155766944,1.1545695418788868,True
CID44971,N8,N5,30,16.781145957193818,1.7877205809737602,True
CID44971,N8,N6,88,137.49713139120095,0.6400133523486113,True
CID44971,N8,N7,76,82.28174791914388,0.9236556335031094,True
CID44971,N8,N8,79,31.126319114149826,2.5380450451041963,True
CID44971,N8,N9,47,31.938310047562425,1.4715869415134288,True
CID44971,N9,N0,2,7.22083531510107,0.2769762655876339,True
CID44971,N9,N1,25,44.15818519619501,0.5661464548174906,True
CID44971,N9,N2,101,62.76572235434006,1.6091585695423156,True
CID44971,N9,N3,26,27.216994649227107,0.9552854874349006,True
CID44971,N9,N4,8,11.1089774078478,0.7201382905278482,True
CID44971,N9,N5,8,8.609457491082045,0.9292106974552878,True
CID44971,N9,N6,58,70.54200653983352,0.8222051348546299,True
CID44971,N9,N7,29,42.21411414982165,0.686974027148276,True
CID44971,N9,N8,47,31.938310047562425,1.4715869415134288,True
CID44971,N9,N9,11,8.192870838287751,1.3426307111536153,True
CID4535,N0,N0,4,0.6985094320987655,5.726479580929154,True
CID4535,N0,N1,11,12.90188009876543,0.8525889184982103,True
CID4535,N0,N2,20,11.751393975308643,1.7019257495768465,True
CID4535,N0,N3,5,7.478159802469136,0.6686136873337611,True
CID4535,N0,N4,2,1.6435516049382717,1.2168769109474453,True
CID4535,N0,N5,2,3.697991111111111,0.5408341826433091,True
CID4535,N0,N6,6,33.28192,0.180278060881103,True
CID4535,N0,N7,7,7.642514962962963,0.9159288577023782,True
CID4535,N0,N8,21,9.039533827160493,2.323128648172396,True
CID4535,N0,N9,6,3.6158135308641977,1.6593776058374254,True
CID4535,N1,N0,11,12.90188009876543,0.8525889184982103,True
CID4535,N1,N1,90,59.57632869135801,1.5106671051560647,True
CID4535,N1,N2,99,108.52757965432097,0.9122105211903928,True
CID4535,N1,N3,80,69.0630052345679,1.158362566590975,True
CID4535,N1,N4,12,15.178682469135802,0.7905824516983403,True
CID4535,N1,N5,21,34.15203555555556,0.6148974624320425,True
CID4535,N1,N6,304,307.36832,0.9890414210547138,True
CID4535,N1,N7,78,70.58087348148148,1.105115255062196,True
CID4535,N1,N8,57,83.48275358024692,0.6827757537394756,True
CID4535,N1,N9,43,33.39310143209876,1.2876911145086605,True
CID4535,N2,N0,20,11.751393975308643,1.7019257495768465,True
CID4535,N2,N1,99,108.52757965432097,0.9122105211903928,True
CID4535,N2,N2,92,49.424980543209884,1.8614069037329983,True
CID4535,N2,N3,61,62.90452069135803,0.9697236276435108,True
CID4535,N2,N4,13,13.82516938271605,0.9403139766412077,True
CID4535,N2,N5,35,31.106631111111117,1.1251620233313595,True
CID4535,N2,N6,121,279.95968,0.4322050946764906,True
CID4535,N2,N7,94,64.28703762962964,1.4621921224859142,True
CID4535,N2,N8,80,76.03843160493828,1.0520995542838687,True
CID4535,N2,N9,32,30.41537264197531,1.0520995542838687,True
CID4535,N3,N0,5,7.478159802469136,0.6686136873337611,True
CID4535,N3,N1,80,69.0630052345679,1.158362566590975,True
CID4535,N3,N2,61,62.90452069135803,0.9697236276435108,True
CID4535,N3,N3,38,20.015074765432097,1.8985689759015814,True
CID4535,N3,N4,2,8.797835061728394,0.22732865369347882,True
CID4535,N3,N5,9,19.795128888888886,0.45465730738695764,True
CID4535,N3,N6,187,178.15615999999997,1.0496409442143344,True
CID4535,N3,N7,43,40.909933037037035,1.0510894740666223,True
CID4535,N3,N8,32,48.38809283950617,0.6613197198355747,True
CID4535,N3,N9,22,19.35523713580247,1.136643268467394,True
CID4535,N4,N0,2,1.6435516049382717,1.2168769109474453,True
CID4535,N4,N1,12,15.178682469135802,0.7905824516983403,True
CID4535,N4,N2,13,13.82516938271605,0.9403139766412077,True
CID4535,N4,N3,2,8.797835061728394,0.22732865369347882,True
CID4535,N4,N4,10,0.966795061728395,10.343453743053287,True
CID4535,N4,N5,5,4.350577777777778,1.1492726381170317,True
CID4535,N4,N6,25,39.155199999999994,0.6384847989539066,True
CID4535,N4,N7,5,8.991194074074073,0.5560996636050154,True
CID4535,N4,N8,14,10.634745679012347,1.3164395672976907,True
CID4535,N4,N9,3,4.253898271604938,0.7052354824809058,True
CID4535,N5,N0,2,3.697991111111111,0.5408341826433091,True
CID4535,N5,N1,21,34.15203555555556,0.6148974624320425,True
CID4535,N5,N2,35,31.106631111111117,1.1251620233313595,True
CID4535,N5,N3,9,19.795128888888886,0.45465730738695764,True
CID4535,N5,N4,5,4.350577777777778,1.1492726381170317,True
CID4535,N5,N5,14,4.8944,2.860411899313501,True
CID4535,N5,N6,65,88.0992,0.7378046565689587,True
CID4535,N5,N7,17,20.230186666666665,0.84032838055869,True
CID4535,N5,N8,49,23.928177777777783,2.0477948824630743,True
CID4535,N5,N9,13,9.57127111111111,1.3582312995928556,True
CID4535,N6,N0,6,33.28192,0.180278060881103,True
CID4535,N6,N1,304,307.36832,0.9890414210547138,True
CID4535,N6,N2,121,279.95968,0.4322050946764906,True
CID4535,N6,N3,187,178.15615999999997,1.0496409442143344,True
CID4535,N6,N4,25,39.155199999999994,0.6384847989539066,True
CID4535,N6,N5,65,88.0992,0.7378046565689587,True
CID4535,N6,N6,651,396.4464,1.642088312568862,True
CID4535,N6,N7,79,182.07168,0.4338950461708268,True
CID4535,N6,N8,75,215.3536,0.3482644357930399,True
CID4535,N6,N9,64,86.14143999999999,0.7429641296918186,True
CID4535,N7,N0,7,7.642514962962963,0.9159288577023782,True
CID4535,N7,N1,78,70.58087348148148,1.105115255062196,True
CID4535,N7,N2,94,64.28703762962964,1.4621921224859142,True
CID4535,N7,N3,43,40.909933037037035,1.0510894740666223,True
CID4535,N7,N4,5,8.991194074074073,0.5560996636050154,True
CID4535,N7,N5,17,20.230186666666665,0.84032838055869,True
CID4535,N7,N6,79,182.07168,0.4338950461708268,True
CID4535,N7,N7,52,20.904526222222223,2.487499570534262,True
CID4535,N7,N8,46,49.45156740740741,0.9302030736665711,True
CID4535,N7,N9,19,19.780626962962963,0.9605357825904811,True
CID4535,N8,N0,21,9.039533827160493,2.323128648172396,True
CID4535,N8,N1,57,83.48275358024692,0.6827757537394756,True
CID4535,N8,N2,80,76.03843160493828,1.0520995542838687,True
CID4535,N8,N3,32,48.38809283950617,0.6613197198355747,True
CID4535,N8,N4,14,10.634745679012347,1.3164395672976907,True
CID4535,N8,N5,49,23.928177777777783,2.0477948824630743,True
CID4535,N8,N6,75,215.3536,0.3482644357930399,True
CID4535,N8,N7,46,49.45156740740741,0.9302030736665711,True
CID4535,N8,N8,89,29.245550617283953,3.0431979607660904,True
CID4535,N8,N9,30,23.39644049382716,1.2822463317834651,True
CID4535,N9,N0,6,3.6158135308641977,1.6593776058374254,True
CID4535,N9,N1,43,33.39310143209876,1.2876911145086605,True
CID4535,N9,N2,32,30.41537264197531,1.0520995542838687,True
CID4535,N9,N3,22,19.35523713580247,1.136643268467394,True
CID4535,N9,N4,3,4.253898271604938,0.7052354824809058,True
CID4535,N9,N5,13,9.57127111111111,1.3582312995928556,True
CID4535,N9,N6,64,86.14143999999999,0.7429641296918186,True
CID4535,N9,N7,19,19.780626962962963,0.9605357825904811,True
CID4535,N9,N8,30,23.39644049382716,1.2822463317834651,True
CID4535,N9,N9,5,4.679288098765432,1.0685386098195544,True
