section,niche_a,niche_b,observed_edges,expected_edges_independence,enrichment_ratio,descriptive
CID4290,N5,N2,42,43.55132668963394,0.9643793471393104,True
CID4290,N5,N3,25,24.369875945463036,1.0258566787925842,True
CID4290,N5,N4,13,11.949100463581875,1.087948004087925,True
CID4290,N5,N5,3,5.345650207391892,0.5612039478100608,True
CID4290,N5,N6,68,74.05297787298768,0.9182615197005383,True
CID4290,N5,N7,79,68.55010265949602,1.1524417460380914,True
CID4290,N5,N8,45,46.85305181772893,0.9604497093393658,True
CID4290,N5,N9,20,18.552550719771858,1.078018882798987,True
CID4290,N6,N0,37,37.02648893649384,0.9992845949682327,True
CID4290,N6,N1,534,536.8840895791607,0.9946280963896297,True
CID4290,N6,N2,313,301.65698339437625,1.03760236702624,True
CID4290,N6,N3,234,168.7972289751925,1.386278681354361,True
CID4290,N6,N4,43,82.76509291686857,0.519542701935831,True
CID4290,N6,N5,68,74.05297787298768,0.9182615197005383,True
CID4290,N6,N6,478,256.46288660424403,1.8638174370142564,True
CID4290,N6,N7,200,474.81026989150917,0.42122088059657725,True
CID4290,N6,N8,233,324.5262853845636,0.717969577483978,True
CID4290,N6,N9,120,128.50369689724332,0.9338252742717339,True
CID4290,N7,N0,28,34.27505132974801,0.8169207313687736,True
CID4290,N7,N1,473,496.9882442813462,0.9517327732449011,True
CID4290,N7,N2,151,279.24085936294705,0.5407518095470969,True
CID4290,N7,N3,70,156.25391047385122,0.4479887881699726,True
CID4290,N7,N4,124,76.61482061943673,1.6184858098922694,True
CID4290,N7,N5,79,68.55010265949602,1.1524417460380914,True
CID4290,N7,N6,200,474.81026989150917,0.42122088059657725,True
CID4290,N7,N7,411,219.76356440838433,1.8701917267606882,True
CID4290,N7,N8,277,300.4107440077914,0.9220708830334503,True
CID4290,N7,N9,106,118.95458990912545,0.8910963425705387,True
CID4290,N8,N0,30,23.426525908864466,1.2805996124524879,True
CID4290,N8,N1,338,339.6846256785348,0.9950406184113582,True
CID4290,N8,N2,226,190.85728461045463,1.1841308570499298,True
CID4290,N8,N3,112,106.79739752570568,1.0487146933804457,True
CID4290,N8,N4,55,52.365175560991155,1.050316348809716,True
CID4290,N8,N5,45,46.85305181772893,0.9604497093393658,True
CID4290,N8,N6,233,324.5262853845636,0.717969577483978,True
CID4290,N8,N7,277,300.4107440077914,0.9220708830334503,True
CID4290,N8,N8,133,102.66330471825898,1.295496968123076,True
CID4290,N8,N9,73,81.30382521311786,0.8978667339285521,True
CID4290,N9,N0,9,9.276275359885929,0.9702169945190883,True
CID4290,N9,N1,150,134.50599271834596,1.11519194772309,True
CID4290,N9,N2,69,75.57436102024712,0.9130080501972648,True
CID4290,N9,N3,44,42.28890237595056,1.0404620959143769,True
CID4290,N9,N4,22,20.73520374562737,1.0609975320179503,True
CID4290,N9,N5,20,18.552550719771858,1.078018882798987,True
CID4290,N9,N6,120,128.50369689724332,0.9338252742717339,True
CID4290,N9,N7,106,118.95458990912545,0.8910963425705387,True
CID4290,N9,N8,73,81.30382521311786,0.8978667339285521,True
CID4290,N9,N9,23,16.097066065684405,1.4288318073708608,True
CID4465,N0,N0,18,0.7279677549793012,24.726369920755356,True
CID4465,N0,N1,1,22.40522979214072,0.044632436680063815,True
CID4465,N0,N2,15,12.375451834648121,1.2120769568997725,True
CID4465,N0,N3,22,6.875251019248957,3.199883166215399,True
CID4465,N0,N4,0,2.7501004076995827,0.0,True
CID4465,N0,N5,0,4.206035917658186,0.0,True
CID4465,N0,N6,5,18.684505711135397,0.2676014060687809,True
CID4465,N0,N7,7,15.610864079000573,0.4484056721380505,True
CID4465,N0,N8,20,9.05915428418686,2.2077116000674426,True
CID4465,N0,N9,2,4.52957714209343,0.4415423200134885,True
CID4465,N1,N0,1,22.40522979214072,0.044632436680063815,True
CID4465,N1,N1,289,172.39579590063832,1.6763749863515665,True
CID4465,N1,N2,184,190.44445323319613,0.966160982250793,True
CID4465,N1,N3,64,105.80247401844228,0.6049007888874531,True
CID4465,N1,N4,28,42.320989607376916,0.6616102378456519,True
CID4465,N1,N5,51,64.72621939951763,0.7879341706211266,True
CID4465,N1,N6,299,287.5337823324726,1.0398778104420061,True
CID4465,N1,N7,164,240.2338527712866,0.6826681506712352,True
CID4465,N1,N8,43,139.41031870665338,0.30844201777115526,True
CID4465,N1,N9,58,69.70515935332669,0.8320761409640467,True
CID4465,N2,N0,15,12.375451834648121,1.2120769568997725,True
CID4465,N2,N1,184,190.44445323319613,0.966160982250793,True
CID4465,N2,N2,98,52.59567029725452,1.863271243547885,True
CID4465,N2,N3,60,58.43963366361614,1.0267004811386304,True
CID4465,N2,N4,16,23.375853465446454,0.6844669874257537,True
CID4465,N2,N5,30,35.75130530009457,0.8391302009306116,True
CID4465,N2,N6,135,158.8182985446509,0.8500279957478922,True
CID4465,N2,N7,102,132.69234467150488,0.7686954379509435,True
CID4465,N2,N8,77,77.00281141558833,0.9999634894423121,True
CID4465,N2,N9,50,38.50140570779416,1.298653882392613,True
CID4465,N3,N0,22,6.875251019248957,3.199883166215399,True
CID4465,N3,N1,64,105.80247401844228,0.6049007888874531,True
CID4465,N3,N2,60,58.43963366361614,1.0267004811386304,True
CID4465,N3,N3,44,16.233231573226707,2.710489270205984,True
CID4465,N3,N4,12,12.986585258581366,0.9240304330247674,True
CID4465,N3,N5,15,19.86183627783032,0.7552171808375504,True
CID4465,N3,N6,135,88.23238808036162,1.530050392346206,True
CID4465,N3,N7,27,73.71796926194715,0.36626076749427317,True
CID4465,N3,N8,21,42.779339675326845,0.49089116754440776,True
CID4465,N3,N9,25,21.389669837663423,1.1687884941533517,True
CID4465,N4,N0,0,2.7501004076995827,0.0,True
CID4465,N4,N1,28,42.320989607376916,0.6616102378456519,True
CID4465,N4,N2,16,23.375853465446454,0.6844669874257537,True
CID4465,N4,N3,12,12.986585258581366,0.9240304330247674,True
CID4465,N4,N4,14,2.597317051716273,5.39017752597781,True
CID4465,N4,N5,10,7.944734511132128,1.2586953013959172,True
CID4465,N4,N6,19,35.29295523214464,0.5383510639736652,True
CID4465,N4,N7,44,29.48718770477886,1.4921734971988905,True
CID4465,N4,N8,20,17.111735870130737,1.168788494153352,True
CID4465,N4,N9,6,8.555867935065368,0.7012730964920111,True
CID4465,N5,N0,0,4.206035917658186,0.0,True
CID4465,N5,N1,51,64.72621939951763,0.7879341706211266,True
CID4465,N5,N2,30,35.75130530009457,0.8391302009306116,True
CID4465,N5,N3,15,19.86183627783032,0.7552171808375504,True
CID4465,N5,N4,10,7.944734511132128,1.2586953013959172,True
CID4465,N5,N5,15,6.075385214395157,2.4689792450458374,True
CID4465,N5,N6,51,53.97746094328005,0.9448388106582339,True
CID4465,N5,N7,34,45.09805178377943,0.753912833374964,True
CID4465,N5,N8,49,26.170890154317597,1.8723092608264271,True
CID4465,N5,N9,17,13.085445077158798,1.299153364655072,True
CID4465,N6,N0,5,18.684505711135397,0.2676014060687809,True
CID4465,N6,N1,299,287.5337823324726,1.0398778104420061,True
CID4465,N6,N2,135,158.8182985446509,0.8500279957478922,True
CID4465,N6,N3,135,88.23238808036162,1.530050392346206,True
CID4465,N6,N4,19,35.29295523214464,0.5383510639736652,True
CID4465,N6,N5,51,53.97746094328005,0.9448388106582339,True
CID4465,N6,N6,203,119.89224497978547,1.693187078398832,True
CID4465,N6,N7,110,200.339422347174,0.5490681699649598,True
CID4465,N6,N8,32,116.2591466470647,0.27524716052788895,True
CID4465,N6,N9,50,58.12957332353235,0.860147376649653,True
CID4465,N7,N0,7,15.610864079000573,0.4484056721380505,True
CID4465,N7,N1,164,240.2338527712866,0.6826681506712352,True
CID4465,N7,N2,102,132.69234467150488,0.7686954379509435,True
CID4465,N7,N3,27,73.71796926194715,0.36626076749427317,True
CID4465,N7,N4,44,29.48718770477886,1.4921734971988905,True
CID4465,N7,N5,34,45.09805178377943,0.753912833374964,True
CID4465,N7,N6,110,200.339422347174,0.5490681699649598,True
CID4465,N7,N7,206,83.69157686797529,2.4614185526097576,True
CID4465,N7,N8,81,97.134265380448,0.8338972831342827,True
CID4465,N7,N9,51,48.567132690224,1.0500928750579857,True
CID4465,N8,N0,20,9.05915428418686,2.2077116000674426,True
CID4465,N8,N1,43,139.41031870665338,0.30844201777115526,True
CID4465,N8,N2,77,77.00281141558833,0.9999634894423121,True
CID4465,N8,N3,21,42.779339675326845,0.49089116754440776,True
CID4465,N8,N4,20,17.111735870130737,1.168788494153352,True
CID4465,N8,N5,49,26.170890154317597,1.8723092608264271,True
CID4465,N8,N6,32,116.2591466470647,0.27524716052788895,True
CID4465,N8,N7,81,97.134265380448,0.8338972831342827,True
CID4465,N8,N8,127,28.184035550803568,4.506097069423369,True
CID4465,N8,N9,34,28.184035550803568,1.206356695751138,True
CID4465,N9,N0,2,4.52957714209343,0.4415423200134885,True
