ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000152795,41.57389200496441,-0.9332871893193373,0.16853251233744768,-5.5377278625660304,3.064208933968597e-08,1.383963483595743e-07,HNRNPDL
ENSG00000068697,234.80676447728717,0.44421428010409303,0.08031321734354904,5.531023345807642,3.1836794559152637e-08,1.436602465231185e-07,LAPTM4A
ENSG00000034677,10.76799689027998,1.7053296438343826,0.30857506386992156,5.526466145538113,3.2674527444536514e-08,1.4722322229434083e-07,RNF19A
ENSG00000168214,33.575210898615026,-1.0711521554998973,0.19382447935167704,-5.526402852120595,3.268631166526777e-08,1.4722322229434083e-07,RBPJ
ENSG00000125810,6.0685185398953125,-3.9271332137091615,0.7106526197618918,-5.5260940500366695,3.2743864818091984e-08,1.4734739168141394e-07,CD93
ENSG00000183943,12.985477619882245,1.7149010567355574,0.31037671947437345,5.525224506656821,3.2906455051255274e-08,1.479435682725237e-07,PRKX
ENSG00000187840,9.060037998054968,-1.9971546128751383,0.3614866318801145,-5.524836706928311,3.2979219451652566e-08,1.4813517768319992e-07,EIF4EBP1
ENSG00000120910,11.381948183390314,1.5918084786229452,0.2885630507283218,5.516328145981557,3.4615565575578906e-08,1.5534327784328288e-07,PPP3CC
ENSG00000122547,16.437860345079308,-1.4657053016781179,0.2660947186535139,-5.5082089155878196,3.625030449617729e-08,1.6238285897376043e-07,EEPD1
ENSG00000239282,6.2021218993813285,-3.344099730250992,0.6071005160282792,-5.508313107899288,3.6228859574361664e-08,1.6238285897376043e-07,GATSL3
ENSG00000151689,9.0302279420285,-1.9144663691543597,0.34843153954250744,-5.494526619685648,3.917598333756903e-08,1.7532858116649746e-07,INPP1
ENSG00000139832,55.722120586418626,1.1655285824364774,0.21221091229375943,5.492312199398393,3.9670530583430055e-08,1.7738033420106943e-07,RAB20
ENSG00000135678,23.527459918242663,1.144983272805839,0.2087765322252768,5.484252758688241,4.1522074604847537e-08,1.854904314620189e-07,CPM
ENSG00000099817,73.34859164731536,-0.8061722407508115,0.14700814861253883,-5.483860917639299,4.161419864757021e-08,1.8573312638888285e-07,POLR2E
ENSG00000137210,20.86492097547589,-1.264728322443101,0.23099389524657285,-5.475159077659066,4.3711875282236584e-08,1.9491847108612574e-07,TMEM14B
ENSG00000147443,50.126891686481244,-1.070252271844855,0.19549905918696622,-5.474462518110205,4.3884151040998396e-08,1.955092640212748e-07,DOK2
ENSG00000171490,32.67718273104045,-1.181803018868552,0.21589848676550027,-5.4738828260161725,4.402802440260248e-08,1.9597256513984473e-07,RSL1D1
ENSG00000083799,39.183745998512805,0.8248757668652745,0.15071448760211445,5.473102022168849,4.422253453283256e-08,1.9666021239306716e-07,CYLD
ENSG00000127666,24.25606398959389,1.1078493286253346,0.20251057284809268,5.470575254637965,4.485771805661585e-08,1.9930454478319193e-07,TICAM1
ENSG00000139974,7.932135328060054,-2.170426372737524,0.3968997132510298,-5.468450342176942,4.539872137092094e-08,2.0152603145140515e-07,SLC38A6
ENSG00000165175,10.101212748182439,-2.0652520468117306,0.377912742945013,-5.464891262246292,4.631906486587105e-08,2.0542588876434148e-07,MID1IP1
ENSG00000160888,194.0396656655012,0.4864717782020082,0.08902834966368918,5.464234483057244,4.649086708076298e-08,2.0600191238491368e-07,IER2
