resource,release,pathway,full_genes,matched_genes,coverage_fraction,boundary_activity_mean_log2_CPM_plus_1,core_activity_mean_log2_CPM_plus_1,boundary_minus_core,method
MSigDB Hallmark,2024.1.Hs,HALLMARK_PANCREAS_BETA_CELLS,40,40,1.0,1.9722936843344279,1.8952754774949185,0.07701820683950933,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_PEROXISOME,104,104,1.0,4.787385697734919,4.8474061554785255,-0.060020457743606315,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,105,1.0,5.161232197641608,5.21972839006669,-0.05849619242508197,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_PROTEIN_SECRETION,96,96,1.0,5.806794749042944,5.8516841489599285,-0.044889399916984374,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,49,1.0,5.738893044773288,5.741386807048712,-0.002493762275423528,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_SPERMATOGENESIS,135,133,0.9851851851851852,2.320676417037472,2.3308956734221287,-0.010219256384656816,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_TGF_BETA_SIGNALING,54,54,1.0,5.223410149973541,5.3063035123621445,-0.0828933623886039,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,199,0.995,4.474406154609778,4.4312706692679145,0.043135485341863955,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,109,0.9646017699115044,5.933575954064845,5.942713083323928,-0.0091371292590825,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_UV_RESPONSE_DN,144,144,1.0,4.542704900314657,4.515321684951268,0.027383215363388835,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_UV_RESPONSE_UP,158,156,0.9873417721518988,4.732677482162266,4.75417717627993,-0.02149969411766328,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,42,1.0,4.1834252111865755,4.267711270273081,-0.0842860590865051,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_XENOBIOTIC_METABOLISM,200,196,0.98,3.9872798324373724,4.027065291734604,-0.03978545929723154,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
