gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj_native,padj
CD52,4031.838333921678,-0.7262170788992063,0.08170725587545262,-8.88803657787979,6.2198207321516955e-19,6.380077598187236e-18,6.380077598187236e-18
RALY,16589.735961154624,0.13537591190348244,0.032071914148724706,4.221011295918098,2.4320874763517364e-05,4.727089361227865e-05,4.727089361227864e-05
CHMP5,4714.656898311342,0.51296415983314,0.13481675248057395,3.804899245789608,0.00014186192361360141,0.00025175141723797945,0.00025175141723797945
PTBP3,22478.73245061714,0.20216388873777877,0.06256203423257761,3.231414886322654,0.0012317900306577482,0.001953671737760108,0.0019536717377601084
UBXN4,11783.737981063043,0.0005420497288410576,0.027508568622761485,0.01970475949782963,0.9842788939876772,0.9858319931067134,0.9858319931067134
TLN1,19206.263136916572,-0.5231587067934106,0.04372074059579165,-11.965915939762635,5.3602798460226944e-33,2.977933247790386e-31,2.9779332477903854e-31
CD86,8312.392367469718,0.29301172254395075,0.07214802061018914,4.061257953659924,4.88090052235423e-05,9.097671057510215e-05,9.097671057510214e-05
INPP4A,23271.288576976654,-0.4761226322962739,0.07941849694635149,-5.9951100889998274,2.0334763796245852e-09,7.036250448527977e-09,7.036250448527976e-09
SNX10,12745.492767720329,0.09948648800272646,0.10784547729103379,0.9224910538830514,0.3562724945862251,0.39918486788372565,0.3991848678837256
TET2,23206.58400981328,-0.2864797546037392,0.040825820719837966,-7.017121751689214,2.2648524417681374e-12,1.1674497122516173e-11,1.1674497122516171e-11
SRSF3,5468.628624838228,0.022887104914691203,0.032429189236861534,0.7057563094632024,0.4803396965730993,0.5241022330312048,0.5241022330312048
PSMA3,5542.472959665686,0.2506469123525782,0.06100755781877464,4.1084567439518676,3.9831178606644155e-05,7.522413334588132e-05,7.52241333458813e-05
AKAP9,21262.929648484434,-0.30637391383014695,0.05241843314296838,-5.844774356275187,5.072553759501206e-09,1.6389511339260763e-08,1.6389511339260763e-08
ATXN7L1,23471.810140604943,-0.18101998073562922,0.11538532925229193,-1.568830126920434,0.1166875264988912,0.14291185119276326,0.14291185119276326
PIK3R1,20318.108270320245,-0.11591872926605248,0.060587607121085484,-1.9132415814736947,0.05571713255600109,0.07193948683796138,0.07193948683796138
CAB39,23100.256580645375,-0.3419096361662348,0.05762373925197753,-5.93348575785979,2.9656973665434846e-09,1.0036200902008409e-08,1.0036200902008409e-08
NAGK,8025.949446445829,-0.06351998577635856,0.12518039502702585,-0.5074275869048416,0.6118548333285655,0.6495274239156746,0.6495274239156746
LST1,1940.071823421297,-1.6669713777971844,0.1107828315197697,-15.04719959698544,3.601605663511689e-51,6.002676105852815e-49,6.002676105852816e-49
ALCAM,21959.471668333354,0.5994308730863706,0.08936877674746477,6.707385900337674,1.981417761719345e-11,8.945452648845802e-11,8.945452648845801e-11
SRGAP2,23215.961527579497,1.2522218813128227,0.1819346511969397,6.882811345032475,5.8682721976609425e-12,2.869570756802417e-11,2.869570756802417e-11
DTX3L,20279.648377152334,1.216404805224347,0.2113010682040193,5.756737604610032,8.575504903389895e-09,2.6924662177048338e-08,2.6924662177048338e-08
PAIP2,5889.525857012122,0.0007346924196631869,0.03746221938379184,0.01961155616906814,0.9843532451170534,0.9858319931067134,0.9858319931067134
ZFAS1,5223.009456640318,0.5679548623683766,0.06539322980966167,8.685224204730485,3.779960812651981e-18,3.5999626787161724e-17,3.599962678716173e-17
SRSF11,15747.991565070659,-0.16349852180910251,0.05400747316742634,-3.0273314454510305,0.0024672326792115253,0.003755300881600495,0.0037553008816004953
KIF2A,21412.893510844744,0.004230732110372371,0.05936785020975576,0.07126301685886456,0.9431884286370162,0.9524965293513491,0.9524965293513491
UBR2,22803.998466509114,0.2627162720946066,0.03726697657726734,7.049573006007204,1.794676547031183e-12,9.396212288121377e-12,9.396212288121377e-12
SETD5,22744.625751056865,-0.07435017473666426,0.030845234975900845,-2.410426595704442,0.0159338773236747,0.022176586393423382,0.022176586393423382
PHKB,22645.976607319113,0.3182241100782387,0.045182386796508746,7.043100921415421,1.880079495056795e-12,9.792080703420805e-12,9.792080703420807e-12
CAPN2,13403.19528837176,0.3641497561319346,0.10802888527331347,3.3708554449176664,0.0007493516716331263,0.001222433395812604,0.001222433395812604
NDUFB2,1981.8692179824457,-0.11238227249674854,0.03676813255187551,-3.0565129283678023,0.0022392782352198435,0.003439751513394537,0.0034397515133945374
MORC3,20567.187932086024,0.5090815711021267,0.07610946094269995,6.688807998330138,2.249956941410235e-11,1.0022079917194811e-10,1.002207991719481e-10
DAPK1,22718.77791603099,-0.6641371045197895,0.05570540842676328,-11.92230922053,9.056304743192691e-33,4.644258842662919e-31,4.644258842662918e-31
RNASET2,8995.715465610856,-0.0290051772681588,0.049759198798909846,-0.582910858058154,0.5599533107558996,0.6014536098344786,0.6014536098344786
PYHIN1,22536.54697288592,0.35578022661529857,0.05230115560019789,6.802530891190336,1.0279696408852272e-11,4.8148460931392373e-11,4.8148460931392373e-11
TRIM44,22195.74492523013,0.3316280157637599,0.06223573028081127,5.3285791661387245,9.898405091405105e-08,2.5980065856706314e-07,2.5980065856706314e-07
ST3GAL1,21960.463802375347,-0.680727483294369,0.09042608970214226,-7.527998673133403,5.152391544587477e-14,3.230339526387133e-13,3.230339526387133e-13
VPS29,3606.674446423766,-0.055876086388069734,0.03222836533060933,-1.7337549023934098,0.08296158050321535,0.10415766541521074,0.10415766541521072
CFP,1047.4212861063438,-0.8320522671170774,0.11721951824787041,-7.09823994804034,1.263556714029477e-12,6.84854587549852e-12,6.84854587549852e-12
XPO1,20966.844189663723,0.3627509305449099,0.038893294253952757,9.326824520863084,1.0909026725618861e-20,1.3467934229159086e-19,1.3467934229159086e-19
FOXN2,22147.370714635214,0.753567239067516,0.06581755702187764,11.449334693735768,2.369571490320482e-30,9.873214543002007e-29,9.873214543002007e-29
WDR33,19265.079478667478,-0.014425375305040459,0.06942271529167202,-0.2077904219740442,0.8353926115512648,0.8563737688890465,0.8563737688890464
CD3D,2878.131603837148,-0.22468196582657832,0.0577093314782963,-3.893338565377043,9.887400820132948e-05,0.00017847293899156944,0.00017847293899156947
NDFIP1,9556.638506017756,-0.2149818209936445,0.030878807847713276,-6.96211531396815,3.352009428430511e-12,1.6844268484575433e-11,1.6844268484575433e-11
ARFGEF1,22753.58761456836,-0.001575671440136406,0.05465371030543262,-0.028830090973343908,0.9770001017234209,0.9819096499732872,0.9819096499732873
SERBP1,9860.127449295429,0.03593348039103497,0.031654784503844076,1.135167430587667,0.2563051729942235,0.2952824573666169,0.2952824573666169
VAMP5,2571.557111530413,0.7408209419664893,0.19259084372791307,3.8466052052458957,0.00011976571767055664,0.00021386735298313688,0.00021386735298313685
SRSF4,18206.913174423767,0.25453056972034616,0.04980154738739846,5.11089681090414,3.2063308932027005e-07,7.897366732026357e-07,7.897366732026356e-07
LACTB,6366.735474697078,0.3843976080590021,0.08432294382773678,4.558636008300272,5.148691678598379e-06,1.099067455688748e-05,1.099067455688748e-05
CNTRL,21335.419142220515,-0.027880839074458458,0.03167421159433115,-0.8802378234869276,0.37873048740684667,0.4229262840947478,0.42292628409474786
RAB5C,5281.621225144973,-0.06209046296333852,0.04963466018648365,-1.25094969382397,0.21095283180586322,0.248033899830527,0.248033899830527
