gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj_native,padj
RAP1A,31196.175868368573,-0.23433360469431883,0.06117301643937181,-3.8306694411017865,0.00012779509438566383,0.0006373820168861039,0.0006373820168861039
EPB41,43956.64487959585,-0.251832555181969,0.20424956415083917,-1.2329649574967494,0.21758883845853605,0.3028376318142464,0.30283763181424644
HERC6,41504.97884276486,1.2804417254480804,0.30794777707111587,4.157983336091371,3.210694383176941e-05,0.00019942201137744973,0.00019942201137744975
SPI1,9939.369169505988,-0.39027160782532705,0.26224771782759504,-1.4881792339634259,0.1367036321656449,0.21031328025483834,0.2103132802548383
HNRNPC,32967.52596480733,0.16080480771950711,0.0391857002421132,4.103660435463874,4.0666421349949004e-05,0.00024062971212987576,0.00024062971212987576
CREM,9019.923781205245,0.7455374374150124,0.15134403615329442,4.926110445870937,8.38825958798702e-07,9.167496817472154e-06,9.167496817472154e-06
CAST,31981.180570298977,0.4206539839480738,0.088479878241449,4.7542333048896035,1.99200901198954e-06,1.861690665410785e-05,1.861690665410785e-05
PSMA1,26414.925884225304,-0.05388918342650183,0.20073329763910622,-0.2684616058238028,0.7883440245652626,0.8400042882954316,0.8400042882954317
TNIK,44129.088470889874,-0.31139785296498634,0.12812525615694678,-2.430417407974117,0.015081442911012745,0.033663935069224875,0.033663935069224875
IRF1,30321.278619786728,0.40487042582127697,0.13165407994942888,3.0752592397956544,0.0021031965702273735,0.0065418244797118925,0.0065418244797118925
TAOK3,39693.644995522074,-0.013694905895450256,0.06162233463046634,-0.22223932244007252,0.8241275845311516,0.8688746278662642,0.8688746278662643
NT5C3A,25878.18116901249,1.1623451745126194,0.23563223581155726,4.932878434520243,8.102658798561871e-07,9.002954220624301e-06,9.002954220624301e-06
LIMS1,18995.81467601779,0.09620402561406224,0.09751683440984542,0.9865376188252206,0.32386936452326254,0.4149511396838726,0.4149511396838726
ST6GAL1,43904.3151096403,0.2077149171264723,0.11043887220774179,1.8808134579258358,0.05999729881562674,0.10675675945841057,0.10675675945841057
OAS2,35449.86628482534,0.9761797847295475,0.2994290208335462,3.2601375177732344,0.0011135820711895015,0.003833328988604136,0.003833328988604136
ATG7,43123.94332806365,-0.2817145323483027,0.16623966668344656,-1.6946288329893207,0.09014585384731628,0.14893611757357972,0.14893611757357972
PRDX1,3757.8124888365487,-0.7620190832698986,0.19742392111216284,-3.8598113084633314,0.00011347461286842397,0.0005760132632914922,0.0005760132632914922
ETS1,43107.80884929919,-0.27565963379127406,0.18718922440264021,-1.4726255460001043,0.14085203258430387,0.21586518403724733,0.21586518403724733
RAB7A,28218.825625510926,0.02157320584003305,0.0412240108387855,0.5233165187249553,0.6007540075422273,0.6869685620837361,0.6869685620837362
AKT3,43816.6356921577,-0.29282057631673064,0.16327392185628736,-1.793431388109054,0.07290397241979824,0.12548015907022073,0.12548015907022073
SCAF11,35419.02586678047,0.02669895540197768,0.03283696775337786,0.8130761525394262,0.4161743981983027,0.5078394120784658,0.5078394120784657
MLLT3,43372.27642475376,0.022680607063796772,0.18497902903209923,0.12261177487238853,0.9024145298044197,0.925566454343572,0.925566454343572
TPM3,22447.30766829518,0.04360960169397788,0.10564247640977721,0.41280366738867746,0.679750464285879,0.7590736619607806,0.7590736619607806
SAP18,2600.1120189571907,0.07871553888327983,0.08221026330316988,0.9574904120304003,0.33831978351964354,0.43043229455425386,0.43043229455425386
NCOA3,43103.93699273977,0.3482363791201444,0.09426465117280654,3.694241423349197,0.00022054419015289162,0.0009867749000129378,0.0009867749000129378
LEF1,39048.87858145307,-0.2922988779796955,0.27406625168709053,-1.0665263460216974,0.28618577556999003,0.3775405208852073,0.3775405208852073
PHACTR2,42684.80309232236,-0.1474753991628964,0.10303924888708002,-1.4312546020644388,0.15235725977232306,0.22928105308099783,0.22928105308099783
LCP1,32605.10370296681,-0.5003566500645084,0.09328126814215523,-5.363956344396968,8.141858969968704e-08,1.3457618132179674e-06,1.3457618132179676e-06
KMT2C,42709.978394126585,-0.23612691816996684,0.049623821992109816,-4.758338005635903,1.9519344965209745e-06,1.8414476382273344e-05,1.8414476382273344e-05
ARAP2,42191.97883746149,0.6409165213554533,0.1325352221000365,4.835820329117453,1.3259765200438622e-06,1.3530372653508797e-05,1.3530372653508797e-05
ARHGEF3,41844.519041573694,0.5892853351777307,0.10138940631627316,5.812099671828826,6.169408742506597e-09,1.4516255864721404e-07,1.4516255864721404e-07
CD83,25181.309928902756,1.4759697138767096,0.2783350492235599,5.302852508133837,1.140070311368209e-07,1.7675508703383085e-06,1.7675508703383085e-06
SELL,17810.169713260602,0.15611401140242623,0.17194770470640386,0.9079156460331167,0.3639227905760556,0.4557580345348223,0.4557580345348223
MS4A7,3073.3638023742155,-0.9166284035777469,0.3203555883560245,-2.861284263157787,0.004219285535143634,0.011342165417052779,0.011342165417052779
FCGR3A,5790.590523746639,-0.6573646947827572,0.336177486571491,-1.9554096304511546,0.05053474033516947,0.09297017928452855,0.09297017928452854
SP140,38473.14709606765,1.022768380875696,0.19692699933149752,5.193642234674061,2.062192559808065e-07,2.864156333066757e-06,2.864156333066757e-06
ADK,40051.699434944625,-0.6521246029650976,0.1956611140114058,-3.332929009732015,0.0008593686667601503,0.0031536464835234877,0.0031536464835234873
DDX17,37405.5939868002,-0.06902879352925548,0.08081323131315837,-0.8541768768255636,0.39300699318460686,0.48370091468874693,0.48370091468874693
SPATS2L,33499.323232043535,1.355270946738406,0.3709122558597484,3.653885589725214,0.00025830140147616937,0.0011279537182365476,0.0011279537182365474
STK17A,26698.950973216688,0.029902430349912863,0.13125008990514217,0.22782788470106285,0.8197800478424402,0.864746885909747,0.8647468859097471
KAT6A,41467.88963182689,-0.10553641597018845,0.10533227488447684,-1.0019380677568723,0.3163735054115929,0.4069112609795407,0.4069112609795407
ZCCHC7,42143.05364929143,-0.28461969615921745,0.07455792286788478,-3.8174305990733965,0.00013484870211432829,0.0006642793207602379,0.0006642793207602379
