section,producer_celltype_minor,spearman,mean_absolute_difference,spots,nnls_mean_residual,nnls_unknown_spots,dominant_component_agreement
CID4290,Cancer Cycling,0.08523628855304285,0.041155324395848014,2426,26.59617558217223,0,
CID4290,Cancer Her2 SC,-0.007517613123195018,0.028200890818928077,2426,26.59617558217223,0,
CID4290,Cancer LumA SC,0.45578041056522933,0.5697334542615174,2426,26.59617558217223,0,
CID4290,Cancer LumB SC,0.2293934019811871,0.03393583695734422,2426,26.59617558217223,0,
CID4290,Cycling PVL,0.14539990187854485,0.00805647563809227,2426,26.59617558217223,0,
CID4290,Cycling T-cells,,0.030652145592207428,2426,26.59617558217223,0,
CID4290,Cycling_Myeloid,0.20666784964571425,0.023702889962346367,2426,26.59617558217223,0,
CID4290,DCs,0.04011701822001268,0.02743242520237526,2426,26.59617558217223,0,
CID4290,Endothelial ACKR1,0.06975868927060232,0.04922348010654704,2426,26.59617558217223,0,
CID4290,Endothelial CXCL12,0.1353781851670606,0.038993731415516715,2426,26.59617558217223,0,
CID4290,Endothelial Lymphatic LYVE1,0.020353055034703502,0.03641440776293067,2426,26.59617558217223,0,
CID4290,Endothelial RGS5,0.23840693708838673,0.024610945510058872,2426,26.59617558217223,0,
CID4290,Luminal Progenitors,0.007308563366148404,0.04440034841086765,2426,26.59617558217223,0,
CID4290,Macrophage,0.43986872538226135,0.03207508293414606,2426,26.59617558217223,0,
CID4290,Mature Luminal,,0.02772437334232548,2426,26.59617558217223,0,
CID4290,Monocyte,0.07306453067191787,0.03581178978612624,2426,26.59617558217223,0,
CID4290,Myoepithelial,,0.042930817553873714,2426,26.59617558217223,0,
CID4290,NK cells,,0.029222284118937476,2426,26.59617558217223,0,
CID4290,NKT cells,0.033373192845894614,0.034660126173839394,2426,26.59617558217223,0,
CID4290,PVL Differentiated,0.09249580675432366,0.05007786078023481,2426,26.59617558217223,0,
CID4290,PVL Immature,0.047263008874565506,0.035057184156704335,2426,26.59617558217223,0,
CID4290,Plasmablasts,0.1721891243498432,0.050936449144329564,2426,26.59617558217223,0,
CID4290,T cells CD4+,,0.02747125261948404,2426,26.59617558217223,0,
CID4290,T cells CD8+,,0.03881061620208291,2426,26.59617558217223,0,
CID4290,__DOMINANT_COMPONENT_AGREEMENT__,,,2426,26.59617558217223,0,0.0053586150041220115
CID4465,B cells Memory,0.04925845263932095,0.0368454268671551,1211,28.867314069918717,0,
CID4465,B cells Naive,-0.05271789339821029,0.03291762588462428,1211,28.867314069918717,0,
CID4465,CAFs MSC iCAF-like,0.06829422554445082,0.050163679596684864,1211,28.867314069918717,0,
CID4465,CAFs myCAF-like,0.5489080639915953,0.40626088212186817,1211,28.867314069918717,0,
CID4465,Cancer Basal SC,0.4154842649048575,0.04427937901061998,1211,28.867314069918717,0,
CID4465,Cancer Cycling,0.7356606500737375,0.06524417729767568,1211,28.867314069918717,0,
CID4465,Cancer Her2 SC,0.04613354245519041,0.032265093134085175,1211,28.867314069918717,0,
CID4465,Cancer LumA SC,0.1230797263645087,0.041989763922281084,1211,28.867314069918717,0,
CID4465,Cancer LumB SC,0.42423552158402417,0.03165360511487779,1211,28.867314069918717,0,
