case_id,family,invalid,arm,status,accepted,seconds,remaining_high_rules
valid_table_presence-2,valid_table_presence,False,heuristic_advisory_without_claim,ROBUST_PASS,True,0.008647500013466924,
wrong_design-0,wrong_design,True,heuristic_advisory,ROBUST_PASS,True,0.011754100036341697,
wrong_design-0,wrong_design,True,heuristic_advisory_without_claim,ROBUST_PASS,True,0.008472100016660988,
wrong_design-1,wrong_design,True,heuristic_advisory,ROBUST_PASS,True,0.010108099959325045,
wrong_design-1,wrong_design,True,heuristic_advisory_without_claim,ROBUST_PASS,True,0.008885900024324656,
wrong_design-2,wrong_design,True,heuristic_advisory,ROBUST_PASS,True,0.010405600012745708,
wrong_design-2,wrong_design,True,heuristic_advisory_without_claim,ROBUST_PASS,True,0.009102699987124652,
wrong_direction-0,wrong_direction,True,heuristic_advisory,NEEDS_REVISION,False,0.010226399987004697,BFA-008
wrong_direction-0,wrong_direction,True,heuristic_advisory_without_claim,ROBUST_PASS,True,0.009026799991261214,
wrong_direction-1,wrong_direction,True,heuristic_advisory,NEEDS_REVISION,False,0.012046599993482232,BFA-008
wrong_direction-1,wrong_direction,True,heuristic_advisory_without_claim,ROBUST_PASS,True,0.009715199994388968,
wrong_direction-2,wrong_direction,True,heuristic_advisory,NEEDS_REVISION,False,0.015003100037574768,BFA-008
wrong_direction-2,wrong_direction,True,heuristic_advisory_without_claim,ROBUST_PASS,True,0.009005699947010726,
wrong_result_hash-0,wrong_result_hash,True,heuristic_advisory,ROBUST_PASS,True,0.010585099982563406,
wrong_result_hash-0,wrong_result_hash,True,heuristic_advisory_without_claim,ROBUST_PASS,True,0.00890300003811717,
wrong_result_hash-1,wrong_result_hash,True,heuristic_advisory,ROBUST_PASS,True,0.012428299989551306,
wrong_result_hash-1,wrong_result_hash,True,heuristic_advisory_without_claim,ROBUST_PASS,True,0.008932299970183522,
wrong_result_hash-2,wrong_result_hash,True,heuristic_advisory,ROBUST_PASS,True,0.01077860000077635,
wrong_result_hash-2,wrong_result_hash,True,heuristic_advisory_without_claim,ROBUST_PASS,True,0.008330699987709522,
