gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj_native,padj
RNF19B,46.49701631520943,1.1028282678290684,0.1383773630544401,7.969715880444957,1.590395804054868e-15,8.240392767123666e-15,8.240392767123668e-15
HAVCR2,174.78186454840238,1.3874355574740946,0.0947105378776671,14.64922054677987,1.3626998362092491e-48,2.500366671943577e-47,2.500366671943577e-47
U2SURP,94.34309656739867,-0.0622612697206739,0.1004594576880346,-0.6197651386295473,0.5354124233872064,0.5972252352339168,0.5972252352339168
NDUFB4,250.5814774784887,0.10500986432956,0.0856687227822515,1.2257666616142842,0.2202864962705076,0.2853452024229373,0.2853452024229374
VCP,154.59401593277644,-0.3280687159776722,0.0750350368694153,-4.372207033743655,1.2299680453202716e-05,3.258193497537144e-05,3.258193497537143e-05
TFCP2,8.534592391876682,-0.8466997687967655,0.256995176375131,-3.2946134660553072,0.0009855714612511,0.0021286640631775,0.0021286640631775
UBE2A,228.1650008700401,0.1767929620468471,0.0821588234731625,2.151843886914925,0.0314096519784939,0.0514069590482716,0.0514069590482716
TFG,134.39883861195833,0.6427129187813166,0.1011714952661075,6.352707519947323,2.1155773417852552e-10,8.378524125882197e-10,8.378524125882197e-10
RIPK1,16.78152418816946,1.0761090218861276,0.2075023170000228,5.186009666995715,2.1484766184991538e-07,6.809751564181154e-07,6.809751564181154e-07
RB1CC1,46.84521883614076,-0.6240521326132381,0.1280851078492186,-4.872167756987564,1.1038037980853828e-06,3.2705297721048376e-06,3.2705297721048376e-06
WDR83OS,264.53723220178824,-0.2400893624605917,0.083256213777856,-2.88374106347422,0.0039298173874267,0.0076979772525498,0.0076979772525498
PPP6R2,14.618650275698162,-0.0197213506639912,0.20921635458434,-0.0942629494867769,0.9249002808520614,0.9418536464888608,0.9418536464888608
UBR1,10.747997596111354,0.0778350779193497,0.228930581994293,0.3399942342403605,0.7338608699777407,0.7745233456229453,0.7745233456229453
TLK2,10.569064288309928,0.5321444813310183,0.2493754930973382,2.1339084876448045,0.0328502725673982,0.0535456765564764,0.0535456765564764
C19orf53,257.9484005773123,-0.4669150375279762,0.0695249542947568,-6.715790643291197,1.8704919156191158e-11,8.079878685179767e-11,8.079878685179767e-11
PPP4R2,79.7571550768462,-0.1228404411511757,0.12833311339465,-0.9571998831931774,0.3384663760184154,0.4080366196725924,0.4080366196725924
SSR3,210.99744720985663,0.215826861896465,0.0698345198423263,3.090546944172638,0.0019978822007668,0.0041449838190183,0.0041449838190183
BCAP31,244.4488466357144,0.0458339254676123,0.0778852523418725,0.588480156248672,0.5562100494714173,0.615957972836564,0.615957972836564
IER3,238.6811399111054,-2.63584761923918,0.1469750244554259,-17.933983198884043,6.402418814750054e-72,2.2865781481250188e-70,2.2865781481250188e-70
CDK19,14.941845016357888,-0.4145684280632469,0.236798328452373,-1.7507236253427714,0.0799935278573262,0.1178976092222937,0.1178976092222937
