seed,grid_id,donors_per_group,cells_per_donor,donor_sd,nonnull_fraction,method,discoveries,true_positive,false_positive,fdp,sensitivity,any_false_positive,pvalue_nonfinite,two_methods_seconds
268913,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0015253000310622156
268914,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0018105999915860593
268914,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0018105999915860593
268915,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0018797999946400523
268915,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0018797999946400523
268916,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0014943999703973532
268916,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0014943999703973532
268917,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0021573000121861696
268917,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0021573000121861696
268918,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0014549000188708305
268918,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0014549000188708305
268919,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0018907000194303691
268919,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0018907000194303691
268920,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.002279800013639033
268920,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.002279800013639033
268921,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0017488999874331057
268921,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0017488999874331057
268922,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0014942000270821154
268922,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0014942000270821154
268923,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0021976999705657363
268923,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0021976999705657363
