gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TMSB10,4434.868946259259,1.7120641327235633,0.09384353199797947,18.24381602304169,2.3170285735126707e-74,6.109232005495076e-72
IFIH1,284.88769279654446,3.850545731926753,0.2119258813193439,18.169303852626175,9.033719174503386e-74,2.3301103914235362e-71
TRADD,208.0583544326963,1.4814411211318914,0.08248105385716849,17.96098681883098,3.937450386484656e-72,9.939967837370307e-70
DRAP1,713.4907106072777,1.6738605006591036,0.09333130434316063,17.934609533631413,6.330683927844465e-72,1.5648659334140536e-69
IFI35,625.584238456127,3.513921074245022,0.19663357391346545,17.870402313856275,2.0054285388119834e-71,4.856001961837588e-69
IRF7,1236.3019235446513,3.30253418321492,0.18526076269635608,17.826409300860973,4.408403035739253e-71,1.0461140403809248e-68
NUB1,224.1596986122978,2.259813339050421,0.12963335543528862,17.432344719168302,4.6883576320299255e-68,1.0907326138046092e-65
DDX60,55.907554367488586,3.513072733758911,0.20187364499322055,17.402334682552986,7.920775833972147e-68,1.8073077936553755e-65
CD38,189.31757597182678,5.085514036868967,0.29339295616247774,17.33345647893696,2.630340973409876e-67,5.888489745190222e-65
TNFSF10,2498.947564255248,5.302893038361315,0.3063568057537121,17.3095323451846,3.9863951827801004e-67,8.758996082164055e-65
RNF213,294.52810201230545,2.126169603748436,0.12294513539637285,17.293645632205816,5.2522939597228675e-67,1.1330630514929422e-64
TMEM123,580.4919468836309,1.572805842845701,0.09190586557999264,17.11322593960849,1.1826422709205606e-65,2.505723311512938e-63
PARP14,235.6688434344723,2.5646533146534223,0.14991028537004517,17.107920969683427,1.2954138030851146e-65,2.696506100632436e-63
IRF2,180.335705753608,2.2297129361726453,0.13037274963263668,17.102599603487025,1.4192982244323014e-65,2.9034436953257336e-63
SSB,562.4762719139229,2.2353703865963532,0.13080724322020576,17.089041337208275,1.790938825640816e-65,3.6016083332590305e-63
SLC38A5,48.22923453976105,3.5539585032590946,0.2087105448012816,17.02816935599926,5.0767706592294484e-65,1.0039313978626234e-62
TMEM140,90.94814150747598,2.698665436302096,0.15927824804727897,16.943088396483645,2.1645635396241723e-64,4.2102535078099675e-62
VCAN,142.02632779800948,-4.7410546600331145,0.2806110658852667,-16.895465776006095,4.8586198770517005e-64,9.297987877615875e-62
HELZ2,85.75114879325858,3.663615677842389,0.217151362470534,16.871253471133606,7.322586958347744e-64,1.3790872104888251e-61
IL27,126.35886503076905,6.954894154641845,0.41295770825795824,16.84166202873588,1.207954982202124e-63,2.239435291223156e-61
PARP12,130.65136677671046,3.0269751511819925,0.18019855663637052,16.79799887237854,2.524173337834233e-63,4.607587177446643e-61
CFLAR,387.4122111616932,1.897887839906863,0.11378111657905973,16.68016536459399,1.827124406294071e-62,3.2846713758604776e-60
BAG1,182.2150994924225,1.890687458929333,0.11425494342813682,16.547970724072194,1.655907542705172e-61,2.9324392528652035e-59
STAT1,298.60180644339664,2.5344527378550428,0.15339007620030934,16.522925085097075,2.509274990278766e-61,4.378315847008465e-59
MX2,387.76140707478055,4.3130439537883,0.2621246766777074,16.4541698570843,7.828786064449578e-61,1.3462108210825254e-58
PARP10,53.81282617459155,2.8123025118271916,0.17094766912583617,16.451248070291204,8.215766628828547e-61,1.3925724435864386e-58
SAMD9L,582.4218042252871,3.720575600326268,0.22864188079667433,16.27250260259574,1.547035353618632e-59,2.585292178969728e-57
SLAMF7,294.73405800802095,2.552619455523636,0.15708765485699408,16.24965028504266,2.246421738499072e-59,3.7019158232349287e-57
OAS3,167.70801550945015,4.685174625572301,0.29002034894785916,16.154641019394873,1.0532995224141353e-58,1.7119724429374955e-56
GMPR,114.44097573043771,5.640951651972185,0.34964321781372637,16.133450799487328,1.484868491046647e-58,2.3808060332795225e-56
ADAR,167.32489000607688,1.8740339031702784,0.11676084835326994,16.050190878197704,5.69885226687482e-58,9.015584286195965e-56
OAS1,1121.242640116527,4.049770328348262,0.25323218638712247,15.992320668737092,1.445445551141835e-57,2.256606771618141e-55
C5orf56,158.27079418103474,2.6588503669568717,0.16640916685761628,15.977787865688002,1.8250865820988184e-57,2.81229250605227e-55
HAPLN3,67.48823836221393,3.795004755979221,0.23860566538468,15.90492308663717,5.857519951622963e-57,8.910189003334161e-55
CHST12,135.94970116522438,2.2370891000835114,0.1410535375272027,15.859858173724144,1.201649392988882e-56,1.804755702254821e-54
ZBP1,53.39352133497575,4.248865490838049,0.26867970337294494,15.813868474241787,2.49654793290117e-56,3.7026926529840477e-54
MX1,1548.583070055262,5.178427092265689,0.32838633439652537,15.769313609782424,5.059665596487238e-56,7.411473123743344e-54
FAM46A,92.41867600007615,2.994333622214529,0.19011623588371562,15.750015290887672,6.866471021002615e-56,9.935448617584881e-54
GBP4,420.00902519645604,3.0537429666112197,0.19527107774377478,15.638480628545478,3.981139286635535e-55,5.691110558545858e-53
OAS2,193.86283190401173,4.317519647941785,0.2779798432849413,15.531772364934179,2.1145379002485996e-54,2.986784784101147e-52
OASL,792.6550618650897,3.800830589766906,0.24716461405136644,15.377729552244913,2.309036116154591e-53,3.223142766844026e-51
FBXO6,138.8602208231227,2.5981554539907634,0.1702994659917049,15.256392255025137,1.4927670283771593e-52,2.0594977664761622e-50
