prespecified_interaction,status,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
CXCL9-CXCR3,FOUND,B cells Naive,T cells CD8+,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,B cells Memory,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,NKT cells,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,PVL Differentiated,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,DCs,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Cycling_Myeloid,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,DCs,Endothelial CXCL12,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,DCs,Cycling PVL,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,DCs,Cycling_Myeloid,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Cycling PVL,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Cycling T-cells,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Macrophage,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Mature Luminal,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Endothelial ACKR1,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Endothelial CXCL12,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Cancer LumB SC,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs myCAF-like,Endothelial RGS5,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Plasmablasts,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs myCAF-like,Endothelial Lymphatic LYVE1,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs myCAF-like,Luminal Progenitors,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs myCAF-like,Mature Luminal,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs myCAF-like,Endothelial ACKR1,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs myCAF-like,Endothelial CXCL12,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
